,id,name,league,rank,rank_percentage
197,kucheni01,Nikita Kucherov,nhl,115.75,13.056580573762869
198,1051,Jake Peavy,mlb,168.26666666666668,13.079651104564867
199,4747,Curtis Granderson,mlb,167.42857142857142,13.08172668313854
200,970,Scott Rolen,mlb,159.1764705882353,13.083906320781066
201,modanmi01,Mike Modano,nhl,110.33333333333333,13.133835634885983
202,webbech01,Chris Webber,nba,58.666666666666664,13.17503844646847
203,854,Robin Ventura,mlb,149.0,13.249518245026659
204,mccabbr01,Bryan McCabe,nhl,111.8,13.410334516856798
205,246,Kenny Lofton,mlb,156.05882352941177,13.41523939636213
206,tkachke01,Keith Tkachuk,nhl,108.33333333333333,13.473960728572674
207,spezzja01,Jason Spezza,nhl,118.07142857142857,13.515034641277184
208,majerda01,Dan Majerle,nba,56.857142857142854,13.628768100049141
209,taylope01w,Penny Taylor,wnba,22.76923076923077,13.741720114521502
210,piercpa01,Paul Pierce,nba,65.3157894736842,13.790814238442593
211,kirilan01,Andrei Kirilenko,nba,65.46153846153847,13.824428924389682
212,amontto01,Tony Amonte,nhl,114.66666666666667,13.879014773248153
213,couside01,DeMarcus Cousins,nba,65.0,13.917254397572307
214,arcaija01w,Janeth Arcain,wnba,21.0,13.931224097219314
215,aldrila01,LaMarcus Aldridge,nba,65.27272727272727,13.960176091960077
216,710,Ben Sheets,mlb,175.6,13.998120131867434
217,carlsjo01,John Carlson,nhl,123.5,14.00237079013101
218,boshch01,Chris Bosh,nba,65.3076923076923,14.011570900979127
219,meessem01w,Emma Meesseman,wnba,21.2,14.030398442005685
220,9166,Buster Posey,mlb,179.33333333333334,14.040434416075831
221,sedinhe01,Henrik Sedin,nhl,125.1875,14.148499109845606
222,stokeki01w,Kiah Stokes,wnba,22.333333333333332,14.15539724530702
223,8370,Dustin Pedroia,mlb,179.66666666666666,14.161002345264615
224,1275,Ivan Rodriguez,mlb,170.9047619047619,14.182836766998284
225,parisza01,Zach Parise,nhl,126.0,14.299155193792588
226,4316,Daniel Murphy,mlb,185.77777777777777,14.339177483716734
227,svehlro01,Robert Svehla,nhl,114.33333333333333,14.362203811376572
228,francst01,Steve Francis,nba,65.0,14.362827716128464
229,1736,Jose Reyes,mlb,185.33333333333334,14.393513785361883
230,1757,Dan Haren,mlb,184.30769230769232,14.411133542811474
231,lowryky01,Kyle Lowry,nba,65.72727272727273,14.46366417707883
232,smithjo03,Josh Smith,nba,68.08333333333333,14.484676555175112
233,iversal01,Allen Iverson,nba,64.57142857142857,14.544923961321018
234,5343,Brandon Crawford,mlb,190.71428571428572,14.576664064068277
235,recchma01,Mark Recchi,nhl,114.13636363636364,14.588434259090555
236,anthoca01,Carmelo Anthony,nba,67.64285714285714,14.605441671952374
237,860,Roberto Alomar,mlb,173.76470588235293,14.633966320979816
238,755,Johan Santana,mlb,182.58333333333334,14.76772355579506
239,hedmavi01,Victor Hedman,nhl,130.125,14.794773057381821
240,bryanko01,Kobe Bryant,nba,69.45,14.843281980588364
241,hayesti01w,Tiffany Hayes,wnba,22.5,14.866819813297527
242,langhcr01w,Crystal Langhorne,wnba,24.0,14.992695972391001
243,bondrpe01,Peter Bondra,nhl,120.1875,14.996069803507071
244,1093,John Olerud,mlb,169.11764705882354,15.113215463171189
245,smithka01w,Katie Smith,wnba,23.466666666666665,15.172192886008043
246,7870,Jonathan Lucroy,mlb,198.375,15.17892340239319
247,hardati01,Tim Hardaway,nba,64.3076923076923,15.195147728179736
248,1875,Josh Hamilton,mlb,199.55555555555554,15.237281405218063
249,hillge01,George Hill,nba,70.22222222222223,15.263868747458284
250,grantho01,Horace Grant,nba,63.11764705882353,15.279371553933075
251,hejdumi01,Milan Hejduk,nhl,132.42857142857142,15.343012603557613
252,kaberto01,Tomas Kaberle,nhl,132.57142857142858,15.396288077464968
